"Id","FirstName","LastName","BirthDate","Nationality"
"01","Eric","Roberts",,
"02","Julia","Roberts",,
"03","Guy","Pearce",1967-10-05,"Britannica"
"04","Carrie-Anne","Moss",1967-08-21,"Canadese"
"05","Joe","Pantoliano",1951-09-12,"Statunitense"
"06","Cillian","Murphy",1976-05-25,"Irlandese"
"07","Emily","Blunt",1983-02-23,"Britannica"
"08","Matt","Damon",1970-10-08,"Statunitense"
"09","Keanu","Reeves",1964-09-02,"Libanese"
"10","Laurence","Fishburne",1961-07-30,"Statunitense"
"11","Martin","Sheen",1940-08-03,"Statunitense"
"12","Marlon","Brando",1924-04-03,"Statunitense"
"13","Robert","Duvall",1931-01-05,"Statunitense"
"14","Christian","Bale",1974-01-30,"Britannica"
"15","Heath","Ledger",1979-04-04,"Australiana"
"16","Aaron","Eckhart",1968-03-12,"Statunitense"
"17","Paolo","Villaggio",1932-12-30,"Italiana"
"18","Anna","Mazzamauro",1938-12-01,"Italiana"
"19","Gigi","Reder",1928-03-25,"Italiana"
"20","Leonardo","DiCaprio",1974-11-11,"Statunitense"
"21","Jonah","Hill",1983-12-20,"Statunitense"
"22","Margot","Robbie",1990-07-02,"Australiana"
"23","Matthew","McConaughey",1969-11-04,"Statunitense"
"24","Anne","Hathaway",1982-11-12,"Statunitense"
"25","Jessica","Chastain",1977-03-24,"Statunitense"
"26","Joseph ","Gordon-Levitt",1981-02-17,"Statunitense"
"27","Elliot","Page",1987-02-21,"Canadese"
"28","Hugh","Jackman",1968-10-12,"Australiana"
"29","Scarlett","Johansson",1984-11-22,"Statunitense"
"30","Tom","Hanks",1956-07-09,"Statunitense"
"31","Halle","Berry",1966-08-14,"Statunitense"
"32","Hugh","Grant",1960-09-09,"Britannica"
"33","Ellen","Burstyn",1932-12-07,"Statunitense"
"34","Jared","Leto",1971-12-26,"Statunitense"
"35","Jennifer","Connelly",1970-12-12,"Statunitense"
"36","Audrey","Tautou",1976-08-09,"Francese"
"37","Mathieu","Kassovitz",1967-08-03,"Francese"
"38","Rufus",,1942-12-19,"Francese"
"39","Kristen","Wiig",1973-08-22,"Statunitense"
"40","Ewan","McGregor",1971-03-31,"Britannica"
"41","Ewen","Bremner",1972-01-23,"Britannica"
"42","Jonny Lee","Miller",1972-11-15,"Britannica"
"43","Dev","Patel",1990-04-23,"Britannica"
"44","Freida","Pinto",1984-10-18,"Indiana"
"45","Saurabh","Shukla",1963-03-05,"Indiana"
"46","Jürgen","Vogel",1968-04-29,"Tedesca"
"47","Frederick","Lau",1989-08-17,"Tedesca"
"48","Max","Riemelt",1984-01-07,"Tedesca"
"49","Emile","Hirsch",1985-03-13,"Statunitense"
"50","Vince","Vaughn",1970-03-28,"Statunitense"
"51","Catherine","Keener",1959-03-26,"Statunitense"
"52","Cameron","Bright",1993-01-26,"Canadese"
"53","Maria","Bello",1967-04-18,"Statunitense"
"54","Silvio","Berlusconi",1936-09-29,"Italiana"
"55","Sabina","Guzzanti",1963-07-25,"Italiana"
"56","Jack","Nicholson",1937-04-22,"Statunitense"
"57","Jesse","Eisenberg",1983-10-05,"Statunitense"
"58","Andrew","Garfield",1983-08-20,"Statunitense"
"59","Justin","Timberlake",1981-01-31,"Statunitense"
"60","Jim","Carrey",1962-01-17,"Canadese"
"61","Jennifer","Aniston",1969-02-11,"Statunitense"
"62","Morgan","Freeman",1937-06-01,"Statunitense"
"63","Nicole","Kidman",1967-06-20,"Statunitense"
"64","Christopher","Eccleston",1964-02-16,"Britannica"
"65","Fionnula","Flanagan",1941-12-10,"Irlandese"
"66","Don","Cheadle",1964-11-29,"Statunitense"
"67","Sandra","Bullock",1964-07-26,"Statunitense"
"68","Thandiwe","Newton",1972-11-06,"Britannica"
"69","Channing","Tatum",1980-04-26,"Statunitense"
"70","Ice","Cube","1969-06-15","Statunitense"
"71","Dennis","Quaid",1954-04-09,"Statunitense"
"72","Jake","Gyllenhaal",1980-12-19,"Statunitense"
"73","Emmy","Rossum",1986-09-12,"Statunitense"
"74","Roberto","Benigni",1952-10-27,"Italiana"
"75","Nicoletta","Braschi",1960-04-19,"Italiana"
"76","Giorgio","Cantarini",1992-04-12,"Italiana"
"77","Tom","Cruise",1962-07-03,"Statunitense"
"78","Colin","Farrel",1976-05-31,"Irlandese"
"79","Samantha","Morton",1977-05-13,"Britannica"
"80","Christopher","Walken",1943-03-31,"Statunitense"
"81","Will","Smith",1968-09-25,"Statunitense"
"82","Bridget","Moynahan",1971-04-28,"Statunitense"
"83","Bruce","Greenwood",1956-08-12,"Canadese"
"84","Andrea","Riseborough",1981-11-20,"Britannica"
"85","Kate","Winslet",1975-10-05,"Britannica"
"86","Tom","Wilkinson",1948-02-05,"Britannica"
"87","Haley Joel","Osment",1988-04-10,"Statunitense"
"88","Jude","Law",1972-12-29,"Britannica"
"89","Frances","O’Connor",1967-06-12,"Britannica"
"90","Mattew","Modine",1959-03-22,"Statunitense"
"91","R. Lee","Ermey",1944-03-24,"Statunitense"
"92","Vincent","D’Onofrio",1959-06-30,"Statunitense"
"93","Michael J.","Fox",1961-06-09,"Canadese"
"94","Christopher","Lloyd",1938-10-22,"Statunitense"
