"Id","FirstName","LastName","Nationality","BirthDate"
"01","Christopher","Nolan","Britannica",1970-07-30
"02","Lana","Wachowski","Statunitense",1965-06-21
"03","Lilly","Wachowski",,
"04","Andrew","Stanton","Statunitense",1965-12-03
"05","Lee","Unkrich","Statunitense",1967-08-08
"06","Pierre","Coffin","Francese",1967-03-15
"07","Chris","Renaud",,
"08","Francis Ford","Coppola","Statunitense",1939-04-07
"09","Luciano","Salce","Italiana",1922-09-25
"10","Hayao ","Miyazaki","Giapponese",1941-01-05
"11","Martin","Scorsese","Statunitense",1942-11-17
"12","Tom","Tykwer","Tedesca",1965-05-23
"13","Darren","Aronofsky","Statunitense",1969-02-12
"14","Jean-Pierre","Jeunet","Francese",1953-09-03
"15","Ridley","Scott","Britannica",1937-11-30
"16","Danny","Boyle","Britannica",1956-10-20
"17","Loveleen","Tandan","Indiana",1940-02-17
"18","Dennis","Gansel","Tedesca",1973-10-04
"19","Sean","Penn","Statunitense",1960-08-17
"20","Jason","Reitman","Canadese",1977-10-19
"21","Sabina","Guzzanti","Italiana",1963-07-25
"22","David","Fincher","Statunitense",1962-08-28
"23","Tom","Shadyac","Statunitense",1958-12-11
"24","Alejandro","Amenábar","Cilena",1972-03-31
"25","Paul","Haggis","Canadese",1953-03-10
"26","Phil","Lord","Statunitense",1975-07-12
"27","Christopher","Miller","Statunitense",1975-09-23
"28","Roland","Emmerich","Tedesca",1955-11-10
"29","Riccardo","Maggiolo","Italiana",
"30","Roberto","Benigni","Italiana",1952-10-27
"31","Steven","Spielberg","Statunitense",1946-12-18
"32","Alex","Projas","Egiziana",1963-09-23
"33","Joseph","Kosinski","Statunitense",1974-05-03
"34","Michel","Gondry","Francese",1963-05-08
"35","Stanley","Kubrick","Statunitense",1928-07-26
"36","Robert","Zemeckis","Statunitense",1952-05-14
